Last Name,First Name,ORCID,Affiliation,ISSN
Franci,Gianluigi,https://orcid.org/0000-0003-3321-4331,University of Salerno,1422-0067
Galdiero,Massimiliano,https://orcid.org/0000-0002-1576-6290,"University of Campania ""Luigi Vanvitelli""",1422-0067
Melikhova,Anastasia V.,NONE,Engelhardt Institute of Molecular Biology,1422-0067
Anashkina,Anastasia A.,https://orcid.org/0000-0003-1763-300X,Engelhardt Institute of Molecular Biology,1422-0067
Il’icheva,I. A.,https://orcid.org/0000-0002-8172-243X,Engelhardt Institute of Molecular Biology,1422-0067
Baumeier,Christian,NONE,CS Diagnostics,1422-0067
Aleshcheva,Ganna,NONE,CS Diagnostics,1422-0067
Harms,Dominik,https://orcid.org/0000-0003-0729-7321,CS Diagnostics,1422-0067
Groß,Ulrich,https://orcid.org/0000-0003-2544-8218,CS Diagnostics,1422-0067
Hamm,Christian W.,https://orcid.org/0000-0001-6763-4161,Kerckhoff Klinik; Universitätsklinikum Gießen und Marburg,1422-0067
Aßmus,Birgit,https://orcid.org/0000-0003-2658-6444,Universitätsklinikum Gießen und Marburg,1422-0067
Westenfeld,Ralf,https://orcid.org/0000-0001-7058-3051,Heinrich Heine University Düsseldorf,1422-0067
Kelm,Malte,https://orcid.org/0000-0003-0060-1052,Heinrich Heine University Düsseldorf,1422-0067
Rammos,S,https://orcid.org/0000-0003-4813-5580,Onassis Cardiac Surgery Center,1422-0067
Wenzel,Philip,https://orcid.org/0000-0002-5397-2781,University Medical Center of the Johannes Gutenberg University Mainz; Johannes Gutenberg University Mainz,1422-0067
Münzel,Thomas,NONE,University Medical Center of the Johannes Gutenberg University Mainz; Johannes Gutenberg University Mainz,1422-0067
Elsässer,Albrecht,NONE,Klinikum Oldenburg,1422-0067
Gailani,Mudather,NONE,NONE,1422-0067
Perings,Christian,https://orcid.org/0000-0002-3252-1885,St. Marien Hospital,1422-0067
Bourakkadi,Alae,NONE,Gemeinschaftsklinikum Mittelrhein,1422-0067
Flesch,Markus,NONE,Marienkrankenhaus Hamburg,1422-0067
Kempf,Tibor,https://orcid.org/0000-0001-6901-8442,Medizinische Hochschule Hannover,1422-0067
Bauersachs,Johann,https://orcid.org/0000-0002-9341-117X,Medizinische Hochschule Hannover,1422-0067
Escher,Felicitas,https://orcid.org/0000-0003-0678-5681,Charité - Universitätsmedizin Berlin; German Centre for Cardiovascular Research; CS Diagnostics,1422-0067
Schultheiß,Heinz‐Peter,https://orcid.org/0000-0002-2185-3710,CS Diagnostics,1422-0067
Sæbø,Ingvill,NONE,Oslo University Hospital; University of Oslo,1422-0067
Bjørås,Magnar,https://orcid.org/0000-0001-8759-1170,University of Oslo; Norwegian University of Science and Technology; Oslo University Hospital,1422-0067
Franzyk,Henrik,https://orcid.org/0000-0002-2822-1927,University of Copenhagen,1422-0067
Helgesen,Emily,https://orcid.org/0000-0002-3992-7394,University of Oslo; Norwegian University of Science and Technology; Oslo University Hospital,1422-0067
Booth,James A.,https://orcid.org/0000-0001-9452-3424,Oslo University Hospital; University of Oslo; Norwegian University of Science and Technology,1422-0067
Huo,Shengqi,https://orcid.org/0000-0002-7820-4076,Huazhong University of Science and Technology; Tongji Hospital,1422-0067
Wang,Qian,https://orcid.org/0000-0002-8108-7739,Huazhong University of Science and Technology; Tongji Hospital,1422-0067
Shi,Wei,https://orcid.org/0000-0002-9667-8419,Huazhong University of Science and Technology; Tongji Hospital,1422-0067
Peng,Lulu,https://orcid.org/0000-0002-2318-5955,Huazhong University of Science and Technology; Tongji Hospital,1422-0067
Jiang,Yue,https://orcid.org/0000-0002-7725-272X,Huazhong University of Science and Technology; Tongji Hospital,1422-0067
Zhu,Mengying,NONE,Tongji Hospital; Huazhong University of Science and Technology,1422-0067
Guo,Junyi,NONE,Huazhong University of Science and Technology; Tongji Hospital,1422-0067
Peng,Dewei,https://orcid.org/0000-0002-9333-4362,Huazhong University of Science and Technology; Tongji Hospital,1422-0067
Wang,Moran,https://orcid.org/0000-0001-7019-0768,Huazhong University of Science and Technology; Tongji Hospital,1422-0067
Men,Lintong,https://orcid.org/0000-0001-6796-0952,Huazhong University of Science and Technology; Tongji Hospital,1422-0067
Huang,Bingyu,https://orcid.org/0000-0001-6357-160X,Tongji Hospital; Huazhong University of Science and Technology,1422-0067
Lv,Jiagao,https://orcid.org/0000-0003-4737-1338,Huazhong University of Science and Technology; Tongji Hospital,1422-0067
Li,Lin,https://orcid.org/0000-0003-0426-6546,Huazhong University of Science and Technology; Tongji Hospital,1422-0067
Motelică,Ludmila,https://orcid.org/0000-0002-3371-4136,Universitatea Națională de Știință și Tehnologie Politehnica București,1422-0067
Oprea,Ovidiu,https://orcid.org/0000-0002-8145-1094,Universitatea Națională de Știință și Tehnologie Politehnica București; Academy of Romanian Scientists,1422-0067
Vasile,Bogdan Ştefan,https://orcid.org/0000-0002-2267-6453,Universitatea Națională de Știință și Tehnologie Politehnica București,1422-0067
Ficai,Anton,https://orcid.org/0000-0002-1777-0525,Universitatea Națională de Știință și Tehnologie Politehnica București; Academy of Romanian Scientists,1422-0067
Ficai,Denisa,https://orcid.org/0000-0003-1243-6904,Universitatea Națională de Știință și Tehnologie Politehnica București,1422-0067
Andronescu,Ecaterina,https://orcid.org/0000-0002-2226-5849,Universitatea Națională de Știință și Tehnologie Politehnica București; Academy of Romanian Scientists,1422-0067
Holban,Alina Maria,https://orcid.org/0000-0002-1257-5042,Universitatea Națională de Știință și Tehnologie Politehnica București; University of Bucharest,1422-0067
Lucarelli,Giuseppe,https://orcid.org/0000-0001-7807-1229,University of Bari Aldo Moro,1422-0067
Netti,Giuseppe Stefano,https://orcid.org/0000-0003-3495-2707,University of Foggia,1422-0067
Rutigliano,Monica,NONE,University of Bari Aldo Moro,1422-0067
Lasorsa,Francesco,https://orcid.org/0000-0001-8884-0757,University of Bari Aldo Moro,1422-0067
Loizzo,Davide,https://orcid.org/0000-0003-2909-1447,University of Bari Aldo Moro,1422-0067
Milella,Martina,NONE,University of Bari Aldo Moro,1422-0067
Schirinzi,Annalisa,https://orcid.org/0000-0001-9826-7907,University of Bari Aldo Moro,1422-0067
Fontana,Antonietta,NONE,University of Bari Aldo Moro,1422-0067
Serio,Francesca Di,https://orcid.org/0000-0001-6089-1165,University of Bari Aldo Moro,1422-0067
Tamma,Roberto,https://orcid.org/0000-0003-4623-5406,University of Bari Aldo Moro,1422-0067
Ribatti,Doménico,https://orcid.org/0000-0003-4768-8431,University of Bari Aldo Moro,1422-0067
Battaglia,Michele,https://orcid.org/0000-0002-2453-2349,University of Bari Aldo Moro,1422-0067
Ranieri,Elena,https://orcid.org/0000-0002-4996-3938,University of Foggia,1422-0067
Ditonno,Pasquale,https://orcid.org/0000-0001-7718-7676,University of Bari Aldo Moro,1422-0067
Zhang,Wanqiu,https://orcid.org/0000-0002-0715-2731,Tsinghua University; University Town of Shenzhen,1422-0067
Lu,Jinghua,NONE,University Town of Shenzhen; Tsinghua University,1422-0067
Wang,Yangyang,NONE,Tsinghua University; University Town of Shenzhen,1422-0067
Sun,Pengbo,https://orcid.org/0000-0002-7326-8847,University Town of Shenzhen; Tsinghua University,1422-0067
Gao,Tong,NONE,University Town of Shenzhen; Tsinghua University,1422-0067
Xu,Naihan,NONE,Tsinghua University; University Town of Shenzhen,1422-0067
Zhang,Yaou,https://orcid.org/0000-0002-2501-8093,University Town of Shenzhen; Tsinghua University,1422-0067
Xie,Weidong,https://orcid.org/0000-0001-5561-7663,Tsinghua University; University Town of Shenzhen,1422-0067
Song,Wan-Meng,NONE,Qingdao University,1422-0067
Zhang,Li-Yao,https://orcid.org/0000-0003-3594-360X,Qingdao University,1422-0067
Li,Ping,https://orcid.org/0000-0001-9339-3111,Qingdao University,1422-0067
Liu,Yun,https://orcid.org/0000-0002-8077-3905,Qingdao University,1422-0067
López‐Miranda,J. Luis,https://orcid.org/0000-0002-7846-3780,Universidad Nacional Autónoma de México,1422-0067
Molina,Gustavo A.,https://orcid.org/0000-0001-7673-0518,Universidad Nacional Autónoma de México,1422-0067
González-Reyna,Marlén Alexis,https://orcid.org/0000-0002-7640-8390,Universidad Nacional Autónoma de México,1422-0067
España‐Sánchez,Beatriz Liliana,https://orcid.org/0000-0002-6015-6037,Center of Research and Technologic Development in Electrochemistry; Consejo Nacional de Humanidades Ciencias y Tecnologías,1422-0067
Esparza,Rodrigo,https://orcid.org/0000-0001-9743-8559,Universidad Nacional Autónoma de México,1422-0067
Silva,Rodolfo,https://orcid.org/0000-0003-0064-9558,Universidad Nacional Autónoma de México,1422-0067
Estévez,Miriam,https://orcid.org/0000-0003-4749-7715,Universidad Nacional Autónoma de México,1422-0067
D’Avino,Danilo,https://orcid.org/0000-0002-6350-5191,University of Naples Federico II,1422-0067
Cerqua,Ida,https://orcid.org/0000-0002-4363-7728,University of Naples Federico II,1422-0067
Ullah,Hammad,https://orcid.org/0000-0001-9437-676X,University of Naples Federico II,1422-0067
Spinelli,Michele,https://orcid.org/0000-0001-8252-1587,University of Naples Federico II,1422-0067
Matteo,Rita Di,NONE,University of Naples Federico II,1422-0067
Granato,Elisabetta,https://orcid.org/0000-0002-7207-5832,University of Naples Federico II,1422-0067
Capasso,Raffaele,https://orcid.org/0000-0002-3335-1822,Federico II University Hospital; University of Naples Federico II,1422-0067
Maruccio,Lucianna,https://orcid.org/0000-0002-2697-9339,University of Naples Federico II,1422-0067
Ialenti,Armando,https://orcid.org/0000-0002-8046-0116,University of Naples Federico II,1422-0067
Daglia,Maria,https://orcid.org/0000-0002-4870-7713,University of Naples Federico II,1422-0067
Roviezzo,Fiorentina,https://orcid.org/0000-0003-1582-7396,University of Naples Federico II,1422-0067
Rossi,Antonietta,https://orcid.org/0000-0002-3237-2584,University of Naples Federico II,1422-0067
Lai,Kai,NONE,Renmin Hospital of Wuhan University; Wuhan University,1422-0067
Song,Congkuan,https://orcid.org/0000-0002-8393-433X,Wuhan University; Renmin Hospital of Wuhan University,1422-0067
Gao,Minglang,NONE,Wuhan University; Renmin Hospital of Wuhan University,1422-0067
Deng,Yu,NONE,Wuhan University; Renmin Hospital of Wuhan University,1422-0067
Lu,Zilong,https://orcid.org/0000-0002-7432-7343,Renmin Hospital of Wuhan University; Wuhan University,1422-0067
Li,Ning,https://orcid.org/0000-0003-3175-8343,Renmin Hospital of Wuhan University; Wuhan University,1422-0067
Geng,Qing,https://orcid.org/0000-0003-4515-5084,Wuhan University; Renmin Hospital of Wuhan University,1422-0067
Marino,Fabiola,https://orcid.org/0000-0001-9043-6032,Magna Graecia University,1422-0067
Salerno,Nadia,https://orcid.org/0000-0002-1929-2168,Magna Graecia University,1422-0067
Scalise,Mariangela,https://orcid.org/0000-0002-4417-9570,Magna Graecia University,1422-0067
Salerno,Luca,https://orcid.org/0000-0003-4221-3533,Magna Graecia University,1422-0067
Torella,Annalaura,https://orcid.org/0000-0003-2479-6018,"University of Campania ""Luigi Vanvitelli""",1422-0067
Molinaro,Claudia,NONE,Magna Graecia University,1422-0067
Chiefalo,Antonio,https://orcid.org/0009-0003-2736-1594,Magna Graecia University,1422-0067
Filardo,Andrea,NONE,Magna Graecia University,1422-0067
Siracusa,Chiara,https://orcid.org/0000-0003-0429-9946,Magna Graecia University,1422-0067
Panuccio,Giuseppe,https://orcid.org/0000-0002-6596-0921,Magna Graecia University,1422-0067
Ferravante,Carlo,https://orcid.org/0000-0003-0758-5059,University of Salerno,1422-0067
Giurato,Giorgio,https://orcid.org/0000-0002-0538-8978,University of Salerno,1422-0067
Rizzo,Francesca,https://orcid.org/0000-0003-1783-5015,University of Salerno,1422-0067
Torella,Michele,https://orcid.org/0000-0003-3853-3171,"University of Campania ""Luigi Vanvitelli""",1422-0067
Donniacuo,Maria,https://orcid.org/0000-0001-7485-5755,"University of Campania ""Luigi Vanvitelli""",1422-0067
Angelis,Antonella De,https://orcid.org/0000-0001-8469-3403,"University of Campania ""Luigi Vanvitelli""",1422-0067
Viglietto,Giuseppe,NONE,Magna Graecia University,1422-0067
Urbanek,Konrad,https://orcid.org/0000-0001-6359-0974,Federico II University Hospital,1422-0067
Weisz,Alessandro,https://orcid.org/0000-0003-0455-2083,University of Salerno,1422-0067
Torella,Daniele,https://orcid.org/0000-0002-4915-5084,Magna Graecia University,1422-0067
Cianflone,Eleonora,https://orcid.org/0000-0002-1675-2093,Magna Graecia University,1422-0067
Čajka,Tomáš,https://orcid.org/0000-0002-9728-3355,Czech Academy of Sciences; Czech Academy of Sciences Institute of Physiology,1422-0067
Hričko,Jiří,NONE,Czech Academy of Sciences; Czech Academy of Sciences Institute of Physiology,1422-0067
Kulhavá,Lucie,https://orcid.org/0000-0003-2432-6075,Czech Academy of Sciences; Czech Academy of Sciences Institute of Physiology,1422-0067
Paucova,Michaela,NONE,Czech Academy of Sciences; Czech Academy of Sciences Institute of Physiology,1422-0067
Nováková,Michaela,NONE,Czech Academy of Sciences Institute of Physiology; Czech Academy of Sciences,1422-0067
Kuda,Ondřej,https://orcid.org/0000-0001-7034-4536,Czech Academy of Sciences; Czech Academy of Sciences Institute of Physiology,1422-0067
Jung,Felix,https://orcid.org/0000-0002-7293-3155,University of Kaiserslautern,1422-0067
Frey,Kevin,https://orcid.org/0000-0002-8510-6810,University of Kaiserslautern,1422-0067
Zimmer,David,https://orcid.org/0000-0002-7832-7658,University of Kaiserslautern,1422-0067
Mühlhaus,Timo,https://orcid.org/0000-0003-3925-6778,University of Kaiserslautern,1422-0067
Deleu,S,https://orcid.org/0000-0001-8596-2783,KU Leuven,1422-0067
Arnauts,Kaline,https://orcid.org/0000-0003-0872-7776,KU Leuven,1422-0067
Deprez,Lowie,NONE,KU Leuven,1422-0067
Machiels,Kathleen,https://orcid.org/0000-0002-0680-4208,KU Leuven,1422-0067
Ferrante,Marc,https://orcid.org/0000-0003-1492-0716,KU Leuven,1422-0067
Huys,Geert,https://orcid.org/0000-0002-7092-4837,VIB-KU Leuven Center for Microbiology; KU Leuven; Rega Institute for Medical Research,1422-0067
Thevelein,Johan M.,https://orcid.org/0000-0002-2626-0180,KU Leuven; VIB-KU Leuven Center for Microbiology,1422-0067
Raes,Jeroen,https://orcid.org/0000-0002-1337-041X,VIB-KU Leuven Center for Microbiology; Rega Institute for Medical Research; KU Leuven,1422-0067
Vermeire,Séverine,https://orcid.org/0000-0001-9942-3019,KU Leuven,1422-0067
Chaillet,Marten L.,https://orcid.org/0000-0001-7231-7742,Utrecht University,1422-0067
Schot,Gijs van der,https://orcid.org/0000-0002-6128-4196,Utrecht University,1422-0067
Gubins,Ilja,NONE,Utrecht University,1422-0067
Roet,Sander,https://orcid.org/0000-0003-0732-545X,Utrecht University,1422-0067
Veltkamp,Remco C.,https://orcid.org/0000-0003-1934-7170,Utrecht University,1422-0067
Förster,Friedrich,https://orcid.org/0000-0002-6044-2746,Utrecht University,1422-0067
Chen,Yutong,https://orcid.org/0000-0002-2013-0772,Peking University,1422-0067
Huang,Weiran,https://orcid.org/0000-0003-1193-6157,Peking University,1422-0067
Ouyang,Jian,NONE,Peking University,1422-0067
Wang,Jingxiang,https://orcid.org/0000-0003-3381-7976,Peking University,1422-0067
Xie,Zhengwei,https://orcid.org/0000-0001-9572-878X,Peking University,1422-0067
Yang,Yucun,NONE,Northwest A&F University,1422-0067
Nan,Rui,NONE,Northwest A&F University,1422-0067
Mi,Tongxi,NONE,Northwest A&F University,1422-0067
Song,Yingxin,NONE,Northwest A&F University,1422-0067
Shi,Fanghui,NONE,Northwest A&F University,1422-0067
Liu,Xinran,https://orcid.org/0000-0002-9607-2468,Northwest A&F University,1422-0067
Wang,Yunqi,https://orcid.org/0000-0002-3377-9466,Northwest A&F University,1422-0067
Sun,Fengli,NONE,Northwest A&F University,1422-0067
Xi,Yajun,NONE,Northwest A&F University,1422-0067
Zhang,Chao,https://orcid.org/0000-0001-5287-4701,Northwest A&F University,1422-0067
Ejaz,Mohsin,https://orcid.org/0000-0002-5634-9450,National Sun Yat-sen University,1422-0067
Samy,Maha Mohammed,NONE,National Sun Yat-sen University; Assiut University,1422-0067
Ye,Yunsheng,https://orcid.org/0000-0002-2351-1845,National Sun Yat-sen University,1422-0067
Kuo,Shiao‐Wei,https://orcid.org/0000-0002-4306-7171,National Sun Yat-sen University; Kaohsiung Medical University,1422-0067
Mohamed,Mohamed Gamal,NONE,National Sun Yat-sen University; Assiut University,1422-0067
Eldosoky,Mona A.,https://orcid.org/0000-0002-6796-1135,Al-Azhar University,1422-0067
Hammad,Reham,https://orcid.org/0000-0002-8967-9106,Al-Azhar University,1422-0067
Elmadbouly,Asmaa A.,https://orcid.org/0000-0003-2873-3268,Al-Azhar University,1422-0067
Aglan,Reda Badr,https://orcid.org/0000-0001-6900-039X,Menoufia University,1422-0067
AbdelHamid,Sherihan G.,https://orcid.org/0000-0003-4900-3715,Ain Shams University,1422-0067
Alboraie,Mohamed,https://orcid.org/0000-0002-8490-9822,Al-Azhar University,1422-0067
Hassan,Donia Ahmed,https://orcid.org/0000-0002-3764-7647,Al-Azhar University,1422-0067
Shaheen,Mohamed,https://orcid.org/0000-0002-3708-8048,Al-Azhar University,1422-0067
Rushdi,Areej,https://orcid.org/0000-0001-8356-3551,Al-Azhar University,1422-0067
Ahmed,Reem,NONE,Al-Azhar University,1422-0067
Abdelbadea,Alzahra,NONE,Al-Azhar University,1422-0067
Abdelmageed,Neamat,https://orcid.org/0000-0001-5771-5283,Al-Azhar University,1422-0067
Elshafei,Ahmed,https://orcid.org/0000-0003-3759-0318,Al-Azhar University,1422-0067
Ahmed,Elham,https://orcid.org/0000-0001-5019-8607,Al-Azhar University,1422-0067
Abo-Elkheir,Omaima I.,https://orcid.org/0000-0002-1943-4509,Al-Azhar University,1422-0067
Zaky,Samy,https://orcid.org/0000-0003-4123-9221,Al-Azhar University,1422-0067
Hamdy,Nadia Μ.,https://orcid.org/0000-0003-2105-107X,Ain Shams University,1422-0067
Lambert,Claude,https://orcid.org/0000-0003-1338-1677,Centre Hospitalier Universitaire de Saint-Étienne,1422-0067
Lagunin,Alexey A.,https://orcid.org/0000-0003-1757-8004,Pirogov Russian National Research Medical University; Institute of Biomedical Chemistry; Bioinformatics Institute,1422-0067
Рудик,А. В.,https://orcid.org/0000-0002-8916-9675,Institute of Biomedical Chemistry; Bioinformatics Institute,1422-0067
Pogodin,Pavel V.,https://orcid.org/0000-0003-1843-7668,Institute of Biomedical Chemistry; Bioinformatics Institute,1422-0067
Савосина,П.И.,https://orcid.org/0000-0001-7066-7925,Institute of Biomedical Chemistry; Bioinformatics Institute,1422-0067
Tarasova,Olga,https://orcid.org/0000-0002-3723-7832,Institute of Biomedical Chemistry; Bioinformatics Institute,1422-0067
Dmitriev,Alexander V.,https://orcid.org/0000-0002-2431-3429,Institute of Biomedical Chemistry; Bioinformatics Institute,1422-0067
Ivanov,Sergey M.,https://orcid.org/0000-0002-3177-6237,Institute of Biomedical Chemistry; Bioinformatics Institute; Pirogov Russian National Research Medical University,1422-0067
Biziukova,Nadezhda,https://orcid.org/0000-0002-2044-1327,Institute of Biomedical Chemistry; Bioinformatics Institute,1422-0067
Druzhilovskiy,D.S.,https://orcid.org/0000-0001-9024-1331,Institute of Biomedical Chemistry; Bioinformatics Institute,1422-0067
Filimonov,Dmitry,https://orcid.org/0000-0002-0339-8478,Institute of Biomedical Chemistry; Bioinformatics Institute,1422-0067
Poroikov,Vladimir,https://orcid.org/0000-0001-7937-2621,Bioinformatics Institute; Institute of Biomedical Chemistry,1422-0067
Kuppa,Annapurna,https://orcid.org/0000-0002-7271-063X,University of Michigan–Ann Arbor,1422-0067
Tripathi,Himi,https://orcid.org/0000-0002-9519-0665,University of Michigan–Ann Arbor,1422-0067
Al‐Darraji,Ahmed,https://orcid.org/0000-0002-5985-1702,University of Michigan–Ann Arbor,1422-0067
Tarhuni,Wadea,https://orcid.org/0000-0001-9729-089X,University of Saskatchewan,1422-0067
Abdel‐Latif,Ahmed,https://orcid.org/0000-0002-8178-7102,University of Michigan–Ann Arbor; VA Ann Arbor Healthcare System,1422-0067
Zhang,Hannah,https://orcid.org/0000-0003-3871-479X,St. Boniface Hospital; University of Manitoba,1422-0067
Dhalla,Naranjan S.,https://orcid.org/0000-0002-4894-4727,St. Boniface Hospital; University of Manitoba,1422-0067
Seyhan,Attila A.,https://orcid.org/0000-0003-1276-8466,Brown University; Providence College; Lifespan,1422-0067
Muscolo,Adele,https://orcid.org/0000-0002-0439-1614,University of Reggio Calabria,1422-0067
Oliva,Mariateresa,https://orcid.org/0009-0009-5846-6050,University of Reggio Calabria,1422-0067
Giulio,Torello,https://orcid.org/0009-0007-7289-513X,NONE,1422-0067
Russo,Mariateresa,https://orcid.org/0000-0002-5159-588X,University of Reggio Calabria,1422-0067
Vilariño‐García,Teresa,NONE,Instituto de Biomedicina de Sevilla; Hospital Universitario Virgen del Rocío; Universidad de Sevilla,1422-0067
Polonio-González,María,NONE,Hospital Universitario Virgen Macarena; Universidad de Sevilla,1422-0067
Pérez‐Pérez,Antonio,https://orcid.org/0000-0002-5660-735X,Hospital Universitario Virgen Macarena; Universidad de Sevilla,1422-0067
Ribalta,Josep,https://orcid.org/0000-0002-8879-4719,Universidad Rovira i Virgili; Institut d'Investigació Sanitària Pere Virgili,1422-0067
Arrieta,Francisco,NONE,Instituto Cajal,1422-0067
Aguilar‐Diosdado,Manuel,https://orcid.org/0000-0001-9657-5949,Biomedical Research and Innovation Institute of Cadiz,1422-0067
Obaya,Juan Carlos,https://orcid.org/0000-0002-2879-1743,NONE,1422-0067
Gimeno-Orna,José Antonio,https://orcid.org/0000-0002-9901-4992,Hospital Clínico Universitario Lozano Blesa,1422-0067
Iglesias,Pedro,https://orcid.org/0000-0003-0126-1985,Hospital Universitario Puerta de Hierro Majadahonda,1422-0067
Navarro,Jorge,https://orcid.org/0000-0003-1508-6727,Hospital Clínico Universitario de Valencia,1422-0067
Durán,Santiago,https://orcid.org/0000-0003-1496-8496,NONE,1422-0067
Pedro‐Botet,Juan,NONE,Universitat Autònoma de Barcelona,1422-0067
Sánchez‐Margalet,Víctor,https://orcid.org/0000-0001-8638-8680,Hospital Universitario Virgen Macarena; Instituto de Biomedicina de Sevilla; Hospital Universitario Virgen del Rocío; Universidad de Sevilla,1422-0067
Fantone,Sonia,https://orcid.org/0000-0002-5630-5984,Istituto Nazionale di Riposo e Cura per Anziani; Istituti di Ricovero e Cura a Carattere Scientifico,1422-0067
Piani,Federica,https://orcid.org/0000-0003-3338-1172,University of Bologna,1422-0067
Olivieri,Fabiola,https://orcid.org/0000-0002-9606-1144,Istituto Nazionale di Riposo e Cura per Anziani; Istituti di Ricovero e Cura a Carattere Scientifico; Marche Polytechnic University,1422-0067
Rippo,Maria Rita,https://orcid.org/0000-0003-3024-3495,Marche Polytechnic University,1422-0067
Sirico,Angelo,https://orcid.org/0000-0002-0593-9063,Ospedale Sant'Anna,1422-0067
Simone,Nicoletta Di,https://orcid.org/0000-0003-1273-3335,Humanitas University; IRCCS Humanitas Research Hospital,1422-0067
Marzioni,Daniela,https://orcid.org/0000-0002-2267-0270,Marche Polytechnic University,1422-0067
Tossetta,Giovanni,https://orcid.org/0000-0001-7003-1230,Marche Polytechnic University,1422-0067
Lv,Shiwei,NONE,Fujian Institute of Oceanography; Ministry of Natural Resources; Harbin Institute of Technology,1422-0067
Li,Yufei,https://orcid.org/0000-0002-8015-897X,Fujian Institute of Oceanography; Ministry of Natural Resources; China University of Geosciences (Beijing),1422-0067
Zhao,Sufang,NONE,Fujian Institute of Oceanography; Ministry of Natural Resources,1422-0067
Shao,Zongze,NONE,Ministry of Natural Resources; Harbin Institute of Technology; China University of Geosciences (Beijing); Fujian Institute of Oceanography; Southern Marine Science and Engineering Guangdong Laboratory (Guangzhou); Southern Marine Science and Engineering Guangdong Laboratory (Zhuhai),1422-0067
Barba,Ignasi,https://orcid.org/0000-0001-9886-3776,Universitat de Vic - Universitat Central de Catalunya; Universitat Autònoma de Barcelona; Centro de Investigación Biomédica en Red de Cáncer,1422-0067
Carrillo-Bosch,Laura,https://orcid.org/0000-0003-0841-4665,Centro de Investigación Biomédica en Red de Cáncer; Universitat Autònoma de Barcelona,1422-0067
Seoane,Joan,https://orcid.org/0000-0002-6541-5974,Universitat Autònoma de Barcelona; Centro de Investigación Biomédica en Red de Cáncer; Institució Catalana de Recerca i Estudis Avançats,1422-0067
Scarian,Eveljn,https://orcid.org/0000-0002-6703-1755,NONE,1422-0067
Viola,C.,https://orcid.org/0009-0005-1410-5510,University of Pavia,1422-0067
Dragoni,Francesca,https://orcid.org/0000-0001-7608-3306,University of Pavia,1422-0067
Gerlando,Rosalinda Di,https://orcid.org/0000-0002-7834-0342,University of Pavia,1422-0067
Rizzo,Bartolo,https://orcid.org/0009-0001-5799-7732,NONE,1422-0067
Diamanti,Luca,https://orcid.org/0000-0002-4540-6886,NONE,1422-0067
Gagliardi,Stella,https://orcid.org/0000-0002-6589-6907,NONE,1422-0067
Bordoni,Matteo,https://orcid.org/0000-0001-9461-756X,NONE,1422-0067
Pansarasa,Orietta,https://orcid.org/0000-0002-3041-0612,NONE,1422-0067
Бицадзе,В. О.,https://orcid.org/0000-0001-8404-1042,Sechenov University,1422-0067
Yakubova,F. E.,NONE,Sechenov University,1422-0067
Khizroeva,J. Kh.,https://orcid.org/0000-0002-0725-9686,Sechenov University,1422-0067
Lazarchuk,Arina,https://orcid.org/0000-0003-2136-1641,Sechenov University,1422-0067
Salnikova,Polina,https://orcid.org/0000-0003-2011-1237,Sechenov University,1422-0067
Vorobev,А. V.,https://orcid.org/0000-0002-4509-9281,Sechenov University,1422-0067
Tretyakova,M. V.,https://orcid.org/0000-0002-3628-0804,Sechenov University,1422-0067
Degtyareva,N.D.,https://orcid.org/0000-0002-8100-0189,Sechenov University,1422-0067
Grigoreva,К. N.,https://orcid.org/0000-0002-7756-8935,Sechenov University,1422-0067
Gashimova,N. R.,https://orcid.org/0000-0003-0764-4477,Sechenov University,1422-0067
Kvaratskheliia,Margaret,https://orcid.org/0000-0001-5249-707X,Sechenov University,1422-0067
Makatsariya,Nataliya,NONE,Sechenov University,1422-0067
Kudryavtseva,Ekaterina,https://orcid.org/0009-0002-5573-4602,Sechenov University,1422-0067
Tomlenova,Anna,NONE,Sechenov University,1422-0067
Gris,Jean‐Christophe,https://orcid.org/0000-0002-9899-9910,Sechenov University; Université de Montpellier,1422-0067
Elalamy,Ismaı̈l,https://orcid.org/0000-0002-9576-1368,Sechenov University; Université Paris 1 Panthéon-Sorbonne; Sorbonne Université; Hôpital Tenon,1422-0067
Ay,Cihan,https://orcid.org/0000-0003-2607-9717,Medical University of Vienna; Sechenov University,1422-0067
Makatsariya,А. D.,https://orcid.org/0000-0001-7415-4633,Sechenov University,1422-0067
Morgos,Diana-Theodora,NONE,Carol Davila University of Medicine and Pharmacy,1422-0067
Ştefani,Constantin,NONE,NONE,1422-0067
Miricescu,Daniela,NONE,Carol Davila University of Medicine and Pharmacy,1422-0067
Greabu,Maria,NONE,Carol Davila University of Medicine and Pharmacy,1422-0067
Stanciu,Silvius,https://orcid.org/0000-0001-7697-0968,Carol Davila University of Medicine and Pharmacy,1422-0067
Nica,Silvia,https://orcid.org/0000-0002-4491-0298,Clinical Emergency Hospital Bucharest,1422-0067
Stănescu-Spînu,Iulia-Ioana,https://orcid.org/0000-0001-9224-6056,Carol Davila University of Medicine and Pharmacy,1422-0067
Bălan,Daniela Gabriela,NONE,Carol Davila University of Medicine and Pharmacy,1422-0067
Balcangiu‐Stroescu,Andra-Elena,https://orcid.org/0000-0003-1467-1983,Carol Davila University of Medicine and Pharmacy,1422-0067
Coculescu,Elena Claudia,https://orcid.org/0000-0001-9018-6416,Carol Davila University of Medicine and Pharmacy,1422-0067
